"vItemNumber","vLocation","vDescription","vShortDesc","vLook","vGenColor","vGenItemType","vMetalColor","vSizeType","vMetalType","vKeywords","vOnSale","vFeaturedItem","vSorting","vAggregation","vMaterialDesc","vFeatureDesc","vDetailDesc","itemprice_1","itemprice_2","imagefilename"
"C180860224","400","Earthy, genuine gemstones take a feminine approach. This is where fashion meets wellness. Use your favorite essential oil on the lava beads of this bracelet!","The Karma Lotus Essential Oil Bracelet","Zen","Purple","Bracelets","Silver",,"Brass","Stone, gemstone,  lava stone, essential oil, amethyst, rhodium","N","N",412,"C180860520","Rhodium plated over brass with amethyst and lava stones","Stretch | Style # C18086","Designed in the USA",8.5,24.99,"https://www.cosmostylejewelry.com/CosmoImg/C180860224.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180860224-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180860224-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180860224-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180860224-5.JPG"
"C180860520","400","Earthy, genuine gemstones take a feminine approach. This is where fashion meets wellness. Use your favorite essential oil on the lava beads of this bracelet!","The Karma Lotus Essential Oil Bracelet","Zen","Green","Bracelets","Rose Gold",,"Brass","Stone, gemstone,  lava stone, essential oil, labradorite, 14K, rose gold","N","N",412,"C180860520","14k rose gold plated over brass with labradorite and lava stones","Stretch | Style # C18086","Designed in the USA",8.5,24.99,"https://www.cosmostylejewelry.com/CosmoImg/C180860520.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180860520-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180860520-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180860520-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180860520-5.JPG"
"C180870127","400","Earthy, genuine gemstones take a feminine approach. This is where fashion meets wellness. Use your favorite essential oil on the lava beads of this bracelet!","The Harmony Disc Essential Oil Bracelet","Zen","Black","Bracelets","Gold",,"Brass","Stone, gemstone,  lava stone, essential oil, black, agate, 14K, gold","N","N",413,"C180870520","14k gold plated over brass with black agate and lava stones","Stretch | Style # C18087","Designed in the USA",8.5,24.99,"https://www.cosmostylejewelry.com/CosmoImg/C180870127.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180870127-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180870127-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180870127-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180870127-5.JPG"
"C180870214","400","Earthy, genuine gemstones take a feminine approach. This is where fashion meets wellness. Use your favorite essential oil on the lava beads of this bracelet!","The Harmony Disc Essential Oil Bracelet","Zen","White","Bracelets","Silver",,"Brass","Stone, gemstone,  lava stone, essential oil, howlite, rhodium","N","N",413,"C180870520","Rhodium plated over brass with white howlite and lava stones","Stretch | Style # C18087","Designed in the USA",8.5,24.99,"https://www.cosmostylejewelry.com/CosmoImg/C180870214.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180870214-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180870214-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180870214-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180870214-5.JPG"
"C180870224","400","Earthy, genuine gemstones take a feminine approach. This is where fashion meets wellness. Use your favorite essential oil on the lava beads of this bracelet!","The Harmony Disc Essential Oil Bracelet","Zen","Purple","Bracelets","Silver",,"Brass","Stone, gemstone,  lava stone, essential oil, amethyst, rhodium","N","N",413,"C180870520","Rhodium plated over brass with amethyst and lava stones","Stretch | Style # C18087","Designed in the USA",8.5,24.99,"https://www.cosmostylejewelry.com/CosmoImg/C180870224.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180870224-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180870224-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180870224-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180870224-5.JPG"
"C180870520","400","Earthy, genuine gemstones take a feminine approach. This is where fashion meets wellness. Use your favorite essential oil on the lava beads of this bracelet!","The Harmony Disc Essential Oil Bracelet","Zen","Green","Bracelets","Rose Gold",,"Brass","Stone, gemstone,  lava stone, essential oil, labradorite, 14K, rose gold","N","N",413,"C180870520","14k rose gold plated over brass with labradorite and lava stones","Stretch | Style # C18087","Designed in the USA",8.5,24.99,"https://www.cosmostylejewelry.com/CosmoImg/C180870520.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180870520-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180870520-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180870520-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180870520-5.JPG"
"C180880127","400","pavé cubic zirconia crystals meet genuine gemstones for a natural chic approach. Whether you're heading out for yoga on the beach, or to walk your puppy with your boyfriend, this piece should be part of your ensemble! Roll the sleeves of your black cable knit sweater to showcase a stack of these bracelets in mix-matched colors.","The Harmony Disc Adjustable Bracelet","Zen","Black","Bracelets","Gold",,"Brass","Stone, gemstone,  lava stone, essential oil, black, agate, 14K, gold","N","N",414,"C180880520","14k gold plated over brass with black agate and glass crystal accents","Adjustable | Style # C18088","Designed in the USA",9,26.99,"https://www.cosmostylejewelry.com/CosmoImg/C180880127.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180880127-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180880127-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180880127-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180880127-5.JPG"
"C180880214","400","pavé cubic zirconia crystals meet genuine gemstones for a natural chic approach. Whether you're heading out for yoga on the beach, or to walk your puppy with your boyfriend, this piece should be part of your ensemble! Roll the sleeves of your black cable knit sweater to showcase a stack of these bracelets in mix-matched colors.","The Harmony Disc Adjustable Bracelet","Zen","White","Bracelets","Silver",,"Brass","Stone, gemstone,  lava stone, essential oil, howlite, rhodium","N","N",414,"C180880520","Rhodium plated over brass with white howlite and glass crystal accents","Adjustable | Style # C18088","Designed in the USA",9,26.99,"https://www.cosmostylejewelry.com/CosmoImg/C180880214.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180880214-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180880214-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180880214-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180880214-5.JPG"
"C180880224","400","pavé cubic zirconia crystals meet genuine gemstones for a natural chic approach. Whether you're heading out for yoga on the beach, or to walk your puppy with your boyfriend, this piece should be part of your ensemble! Roll the sleeves of your black cable knit sweater to showcase a stack of these bracelets in mix-matched colors.","The Harmony Disc Adjustable Bracelet","Zen","Purple","Bracelets","Silver",,"Brass","Stone, gemstone,  lava stone, essential oil, amethyst, rhodium","N","N",414,"C180880520","Rhodium plated over brass with amethyst and glass crystal accents","Adjustable | Style # C18088","Designed in the USA",9,26.99,"https://www.cosmostylejewelry.com/CosmoImg/C180880224.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180880224-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180880224-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180880224-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180880224-5.JPG"
"C180880520","400","pavé cubic zirconia crystals meet genuine gemstones for a natural chic approach. Whether you're heading out for yoga on the beach, or to walk your puppy with your boyfriend, this piece should be part of your ensemble! Roll the sleeves of your black cable knit sweater to showcase a stack of these bracelets in mix-matched colors.","The Harmony Disc Adjustable Bracelet","Zen","Green","Bracelets","Rose Gold",,"Brass","Stone, gemstone,  lava stone, essential oil, labradorite, 14K, rose gold","N","N",414,"C180880520","14k rose gold plated over brass with labradorite and glass crystal accents","Adjustable | Style # C18088","Designed in the USA",9,26.99,"https://www.cosmostylejewelry.com/CosmoImg/C180880520.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180880520-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180880520-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180880520-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180880520-5.JPG"
"C180890109","400","Minimal in size, but impactful in style. This piece calls for a wrap sweater, leggings and your favorite go-to booties. Choosing the pavé icon to best match your vibe and you'll be ready for that much needed coffee date with the girls.","The Karma Dainty Hamsa Necklace","Zen","Gold","Necklaces","Gold",,"Brass","Pavé, crystal, CZ, cubiic zirconia, 14K, gold, plated","N","N",420,"C180890509","14k gold plated over brass with cubic zirconia accents","Lobster claw closure | Style # C18089","16""length | 3""extender chain | Designed in the USA",6,19.99,"https://www.cosmostylejewelry.com/CosmoImg/C180890109.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180890109-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180890109-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180890109-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180890109-5.JPG"
"C180890209","400","Minimal in size, but impactful in style. This piece calls for a wrap sweater, leggings and your favorite go-to booties. Choosing the pavé icon to best match your vibe and you'll be ready for that much needed coffee date with the girls.","The Karma Dainty Hamsa Necklace","Zen","Silver","Necklaces","Silver",,"Brass","Pavé, crystal, CZ, cubiic zirconia, rhodium, plated","N","N",420,"C180890509","Rhodium plated over brass with cubic zirconia accents","Lobster claw closure | Style # C18089","16""length | 3""extender chain | Designed in the USA",6,19.99,"https://www.cosmostylejewelry.com/CosmoImg/C180890209.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180890209-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180890209-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180890209-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180890209-5.JPG"
"C180890509","400","Minimal in size, but impactful in style. This piece calls for a wrap sweater, leggings and your favorite go-to booties. Choosing the pavé icon to best match your vibe and you'll be ready for that much needed coffee date with the girls.","The Karma Dainty Hamsa Necklace","Zen","Rose Gold","Necklaces","Rose Gold",,"Brass","Pavé, crystal, CZ, cubiic zirconia, 14K, rose gold, plated","N","N",420,"C180890509","14k rose gold plated over brass with cubic zirconia accents","Lobster claw closure | Style # C18089","16""length | 3""extender chain | Designed in the USA",6,19.99,"https://www.cosmostylejewelry.com/CosmoImg/C180890509.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180890509-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180890509-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180890509-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180890509-5.JPG"
"C180900109","400","Minimal in size, but impactful in style. This piece calls for a wrap sweater, leggings and your favorite go-to booties. Choosing the pavé icon to best match your vibe and you'll be ready for that much needed coffee date with the girls.","The Karma Dainty Lotus Necklace","Zen","Gold","Necklaces","Gold",,"Brass","Pavé, crystal, CZ, cubiic zirconia, 14K, gold, plated","N","N",421,"C180900509","14k gold plated over brass with cubic zirconia accents","Lobster claw closure | Style # C18090","16""length | 3""extender chain | Designed in the USA",6,19.99,"https://www.cosmostylejewelry.com/CosmoImg/C180900109.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180900109-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180900109-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180900109-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180900109-5.JPG"
"C180900209","400","Minimal in size, but impactful in style. This piece calls for a wrap sweater, leggings and your favorite go-to booties. Choosing the pavé icon to best match your vibe and you'll be ready for that much needed coffee date with the girls.","The Karma Dainty Lotus Necklace","Zen","Silver","Necklaces","Silver",,"Brass","Pavé, crystal, CZ, cubiic zirconia, rhodium, plated","N","N",421,"C180900509","Rhodium plated over brass with cubic zirconia accents","Lobster claw closure | Style # C18090","16""length | 3""extender chain | Designed in the USA",6,19.99,"https://www.cosmostylejewelry.com/CosmoImg/C180900209.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180900209-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180900209-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180900209-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180900209-5.JPG"
"C180900509","400","Minimal in size, but impactful in style. This piece calls for a wrap sweater, leggings and your favorite go-to booties. Choosing the pavé icon to best match your vibe and you'll be ready for that much needed coffee date with the girls.","The Karma Dainty Lotus Necklace","Zen","Rose Gold","Necklaces","Rose Gold",,"Brass","Pavé, crystal, CZ, cubiic zirconia, 14K, rose gold, plated","N","N",421,"C180900509","14k rose gold plated over brass with cubic zirconia accents","Lobster claw closure | Style # C18090","16""length | 3""extender chain | Designed in the USA",6,19.99,"https://www.cosmostylejewelry.com/CosmoImg/C180900509.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180900509-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180900509-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180900509-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180900509-5.JPG"
"C180910109","400","Minimal in size, but impactful in style. This piece calls for a wrap sweater, leggings and your favorite go-to booties. Choosing the pavé icon to best match your vibe and you'll be ready for that much needed coffee date with the girls.","The Karma Dainty Triangle Necklace","Zen","Gold","Necklaces","Gold",,"Brass","Pavé, crystal, CZ, cubiic zirconia, 14K, gold, plated","N","N",422,"C180910509","14k gold plated over brass with cubic zirconia accents","Lobster claw closure | Style # C18091","16""length | 3""extender chain | Designed in the USA",6,19.99,"https://www.cosmostylejewelry.com/CosmoImg/C180910109.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180910109-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180910109-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180910109-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180910109-5.JPG"
"C180910209","400","Minimal in size, but impactful in style. This piece calls for a wrap sweater, leggings and your favorite go-to booties. Choosing the pavé icon to best match your vibe and you'll be ready for that much needed coffee date with the girls.","The Karma Dainty Triangle Necklace","Zen","Silver","Necklaces","Silver",,"Brass","Pavé, crystal, CZ, cubiic zirconia, rhodium, plated","N","N",422,"C180910509","Rhodium plated over brass with cubic zirconia accents","Lobster claw closure | Style # C18091","16""length | 3""extender chain | Designed in the USA",6,19.99,"https://www.cosmostylejewelry.com/CosmoImg/C180910209.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180910209-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180910209-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180910209-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C180910209-5.JPG"
